start_state_mm,step,remaining_passes_before,rpra_state_before_mm,online_state_before_mm,rpra_action_mm,online_action_mm,rpra_immediate_deflection_um,online_immediate_deflection_um,rpra_successor_mm,online_successor_mm,online_discrete_class,rpra_continuous_status,online_continuous_status,rpra_step_status,online_step_status,disagreement_classification,is_first_decision_disagreement
4.351,1,3,4.351,4.351,0.414,,57.42183856395226,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.352,1,3,4.352,4.352,0.415,,57.59117090899578,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.353,1,3,4.353,4.353,0.416,,57.7606082088836,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.354,1,3,4.354,4.354,0.417,,57.93015030673566,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.355,1,3,4.355,4.355,0.418,,58.099797046216175,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.356,1,3,4.356,4.356,0.419,,58.2695482715305,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.357,1,3,4.357,4.357,0.42,,58.43940382742213,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.358,1,3,4.358,4.358,0.421,,58.60936355916921,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.359,1,3,4.359,4.359,0.422,,58.779427312581106,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.36,1,3,4.36,4.36,0.423,,58.94959493399635,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.361,1,3,4.361,4.361,0.424,,59.11986627027841,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.362,1,3,4.362,4.362,0.425,,59.29024116881337,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.363,1,3,4.363,4.363,0.426,,59.46071947750633,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.364,1,3,4.364,4.364,0.427,,59.631301044778965,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.365,1,3,4.365,4.365,0.428,,59.801985719565394,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.366,1,3,4.366,4.366,0.429,,59.97277335131068,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.367,1,3,4.367,4.367,0.43,,60.143663789966915,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.368,1,3,4.368,4.368,0.431,,60.314656885990615,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.369,1,3,4.369,4.369,0.432,,60.48575249033971,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.37,1,3,4.37,4.37,0.433,,60.6569504544708,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.371,1,3,4.371,4.371,0.434,,60.82825063033564,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.372,1,3,4.372,4.372,0.435,,60.99965287037934,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.373,1,3,4.373,4.373,0.436,,61.171157027537035,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.374,1,3,4.374,4.374,0.437,,61.34276295523092,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.375,1,3,4.375,4.375,0.438,,61.51447050736772,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.376,1,3,4.376,4.376,0.439,,61.68627953833612,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.377,1,3,4.377,4.377,0.44,,61.8581899030031,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.378,1,3,4.378,4.378,0.441,,62.030201456712646,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.379,1,3,4.379,4.379,0.442,,62.20231405528202,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.38,1,3,4.38,4.38,0.443,,62.374527554999446,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.381,1,3,4.381,4.381,0.444,,62.54684181262163,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.382,1,3,4.382,4.382,0.445,,62.7192566853709,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.383,1,3,4.383,4.383,0.446,,62.89177203093203,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.384,1,3,4.384,4.384,0.447,,63.06438770745129,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.385,1,3,4.385,4.385,0.448,,63.23710357353214,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.386,1,3,4.386,4.386,0.449,,63.409919488233896,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.387,1,3,4.387,4.387,0.45,,63.582835311068465,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.388,1,3,4.388,4.388,0.451,,63.75585090199845,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.389,1,3,4.389,4.389,0.452,,63.92896612143363,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.39,1,3,4.39,4.39,0.453,,64.10218083023004,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.391,1,3,4.391,4.391,0.454,,64.27549488968609,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.392,1,3,4.392,4.392,0.455,,64.44890816154124,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.393,1,3,4.393,4.393,0.456,,64.62242050797275,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.394,1,3,4.394,4.394,0.457,,64.79603179159405,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.395,1,3,4.395,4.395,0.458,,64.96974187545112,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.396,1,3,4.396,4.396,0.459,,65.14355062302187,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.397,1,3,4.397,4.397,0.46,,65.31745789821242,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.398,1,3,4.398,4.398,0.461,,65.49146356535569,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.399,1,3,4.399,4.399,0.462,,65.6655674892083,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.4,1,3,4.4,4.4,0.463,,65.83976953494917,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.401,1,3,4.401,4.401,0.464,,66.01406956817586,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.402,1,3,4.402,4.402,0.465,,66.18846745490411,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.403,1,3,4.403,4.403,0.466,,66.36296306156447,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.404,1,3,4.404,4.404,0.467,,66.53755625500033,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.405,1,3,4.405,4.405,0.468,,66.71224690246572,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.406,1,3,4.406,4.406,0.469,,66.8870348716235,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.407,1,3,4.407,4.407,0.47,,67.06192003054181,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.408,1,3,4.408,4.408,0.471,,67.2369022476942,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.409,1,3,4.409,4.409,0.472,,67.41198139195559,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.41,1,3,4.41,4.41,0.473,,67.58715733260098,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.411,1,3,4.411,4.411,0.474,,67.76242993930329,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.412,1,3,4.412,4.412,0.475,,67.93779908213101,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.413,1,3,4.413,4.413,0.476,,68.11326463154663,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.414,1,3,4.414,4.414,0.477,,68.28882645840352,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.415,1,3,4.415,4.415,0.478,,68.46448443394532,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.416,1,3,4.416,4.416,0.479,,68.64023842980316,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.417,1,3,4.417,4.417,0.48,,68.81608831799328,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
4.418,1,3,4.418,4.418,0.481,,68.99203397091617,,3.937,,,PASS,,CONTINUE,NUMERICAL_UNRESOLVED,NUMERICAL_UNRESOLVED,True
