state_order,state_mm,remaining_passes,rpra_action_mm,rpra_immediate_deflection_um,rpra_successor_mm,rpra_discrete_class,rpra_selected_continuous_status,rpra_selected_continuous_detail,online_decision_status,online_action_mm,online_immediate_deflection_um,online_successor_mm,online_discrete_class,online_selected_continuous_status,exact_action_agreement,signed_action_delta_um_online_minus_rpra,absolute_action_difference_um,immediate_deflection_delta_um_online_minus_rpra,online_local_candidate_count,online_continuous_solve_calls,online_downstream_pass_count_evaluated,online_downstream_fail_count_evaluated,online_downstream_unresolved_count_evaluated
26,4.206,3,0.36,51.95861483571447,3.846,PRESERVING,PASS,continuous_reference,PASS,0.36,51.95861483571447,3.846,PRESERVING,PASS,True,0,0,0.0,27,1,1,0,0
27,4.207,3,0.36,51.91810656193943,3.847,PRESERVING,PASS,continuous_reference,PASS,0.36,51.91810656193943,3.847,PRESERVING,PASS,True,0,0,0.0,28,1,1,0,0
28,4.208,3,0.36,51.87764038561463,3.848,PRESERVING,PASS,continuous_reference,PASS,0.36,51.87764038561463,3.848,PRESERVING,PASS,True,0,0,0.0,29,1,1,0,0
29,4.209,3,0.36,51.83721625206807,3.849,PRESERVING,PASS,continuous_reference,PASS,0.36,51.83721625206807,3.849,PRESERVING,PASS,True,0,0,0.0,30,1,1,0,0
30,4.21,3,0.36,51.79683410671292,3.85,PRESERVING,PASS,continuous_reference,PASS,0.36,51.79683410671292,3.85,PRESERVING,PASS,True,0,0,0.0,31,1,1,0,0
31,4.211,3,0.36,51.756493895047356,3.851,PRESERVING,PASS,continuous_reference,PASS,0.36,51.756493895047356,3.851,PRESERVING,PASS,True,0,0,0.0,32,1,1,0,0
32,4.212,3,0.36,51.71619556265447,3.852,PRESERVING,NUMERICAL_UNRESOLVED,optimizer_success_false:Positive directional derivative for linesearch,NUMERICAL_UNRESOLVED,,,,,,False,,,,33,1,0,0,1
33,4.213,3,0.36,51.675939055202036,3.853,PRESERVING,PASS,continuous_reference,PASS,0.36,51.675939055202036,3.853,PRESERVING,PASS,True,0,0,0.0,34,1,1,0,0
34,4.214,3,0.36,51.63572431844241,3.854,PRESERVING,PASS,continuous_reference,PASS,0.36,51.63572431844241,3.854,PRESERVING,PASS,True,0,0,0.0,35,1,1,0,0
35,4.215,3,0.36,51.59555129821238,3.855,PRESERVING,PASS,continuous_reference,PASS,0.36,51.59555129821238,3.855,PRESERVING,PASS,True,0,0,0.0,36,1,1,0,0
