state_mm,remaining_passes,myopic_action_mm,myopic_immediate_deflection_um,myopic_successor_mm,myopic_action_class,rpra_action_mm,rpra_immediate_deflection_um,rpra_successor_mm,immediate_deflection_sacrifice_um,selected_actions_differ
4.24,3,0.36,50.604626947353346,3.88,PRESERVING,0.36,50.604626947353346,3.88,0.0,False
4.241,3,0.36,50.56551981852196,3.881,PRESERVING,0.36,50.56551981852196,3.881,0.0,False
4.242,3,0.36,50.526452975167395,3.882,PRESERVING,0.36,50.526452975167395,3.882,0.0,False
4.243,3,0.36,50.487426365428945,3.883,PRESERVING,0.36,50.487426365428945,3.883,0.0,False
4.244,3,0.36,50.44843993752582,3.884,PRESERVING,0.36,50.44843993752582,3.884,0.0,False
4.245,3,0.36,50.40949363975729,3.885,PRESERVING,0.36,50.40949363975729,3.885,0.0,False
4.246,3,0.36,50.37058742050237,3.886,PRESERVING,0.36,50.37058742050237,3.886,0.0,False
4.247,3,0.36,50.3317212282198,3.887,PRESERVING,0.36,50.3317212282198,3.887,0.0,False
4.248,3,0.36,50.29289501144779,3.888,PRESERVING,0.36,50.29289501144779,3.888,0.0,False
4.249,3,0.36,50.25410871880395,3.889,PRESERVING,0.36,50.25410871880395,3.889,0.0,False
4.25,3,0.36,50.215362298985056,3.89,PRESERVING,0.36,50.215362298985056,3.89,0.0,False
4.251,3,0.36,50.17665570076711,3.891,PRESERVING,0.36,50.17665570076711,3.891,0.0,False
4.252,3,0.36,50.13798887300495,3.892,PRESERVING,0.36,50.13798887300495,3.892,0.0,False
4.253,3,0.36,50.09936176463223,3.893,PRESERVING,0.36,50.09936176463223,3.893,0.0,False
4.254,3,0.36,50.06077432466129,3.894,PRESERVING,0.36,50.06077432466129,3.894,0.0,False
4.255,3,0.36,50.02222650218303,3.895,PRESERVING,0.36,50.02222650218303,3.895,0.0,False
4.256,3,0.36,49.983718246366685,3.896,PRESERVING,0.36,49.983718246366685,3.896,0.0,False
4.257,3,0.36,49.94524950645972,3.897,PRESERVING,0.36,49.94524950645972,3.897,0.0,False
4.258,3,0.36,49.906820231787734,3.898,PRESERVING,0.36,49.906820231787734,3.898,0.0,False
4.259,3,0.36,49.86843037175427,3.899,PRESERVING,0.36,49.86843037175427,3.899,0.0,False
4.26,3,0.36,49.83007987584073,3.9,PRESERVING,0.36,49.83007987584073,3.9,0.0,False
4.261,3,0.36,49.79176869360613,3.901,PRESERVING,0.36,49.79176869360613,3.901,0.0,False
4.262,3,0.36,49.75349677468705,3.902,PRESERVING,0.36,49.75349677468705,3.902,0.0,False
4.263,3,0.36,49.71526406879751,3.903,PRESERVING,0.36,49.71526406879751,3.903,0.0,False
4.264,3,0.36,49.67707052572877,3.904,PRESERVING,0.36,49.67707052572877,3.904,0.0,False
4.265,3,0.36,49.638916095349224,3.905,PRESERVING,0.36,49.638916095349224,3.905,0.0,False
4.266,3,0.36,49.60080072760419,3.906,PRESERVING,0.36,49.60080072760419,3.906,0.0,False
4.267,3,0.36,49.56272437251595,3.907,PRESERVING,0.36,49.56272437251595,3.907,0.0,False
4.268,3,0.36,49.52468698018341,3.908,PRESERVING,0.36,49.52468698018341,3.908,0.0,False
4.269,3,0.36,49.48668850078208,3.909,PRESERVING,0.36,49.48668850078208,3.909,0.0,False
4.27,3,0.36,49.4487288845639,3.91,PRESERVING,0.36,49.4487288845639,3.91,0.0,False
4.271,3,0.36,49.41080808185711,3.911,PRESERVING,0.36,49.41080808185711,3.911,0.0,False
4.272,3,0.36,49.37292604306616,3.912,PRESERVING,0.36,49.37292604306616,3.912,0.0,False
4.273,3,0.36,49.335082718671444,3.913,PRESERVING,0.36,49.335082718671444,3.913,0.0,False
4.274,3,0.36,49.29727805922929,3.914,PRESERVING,0.36,49.29727805922929,3.914,0.0,False
4.275,3,0.36,49.25951201537183,3.915,PRESERVING,0.36,49.25951201537183,3.915,0.0,False
4.276,3,0.36,49.221784537806734,3.916,PRESERVING,0.36,49.221784537806734,3.916,0.0,False
4.277,3,0.36,49.18409557731721,3.917,PRESERVING,0.36,49.18409557731721,3.917,0.0,False
4.278,3,0.36,49.14644508476175,3.918,PRESERVING,0.36,49.14644508476175,3.918,0.0,False
4.279,3,0.36,49.108833011074196,3.919,PRESERVING,0.36,49.108833011074196,3.919,0.0,False
4.28,3,0.36,49.071259307263354,3.92,PRESERVING,0.36,49.071259307263354,3.92,0.0,False
4.281,3,0.36,49.03372392441303,3.921,PRESERVING,0.36,49.03372392441303,3.921,0.0,False
4.282,3,0.36,48.99622681368178,3.922,PRESERVING,0.36,48.99622681368178,3.922,0.0,False
4.283,3,0.36,48.958767926302954,3.923,PRESERVING,0.36,48.958767926302954,3.923,0.0,False
4.284,3,0.36,48.92134721358435,3.924,PRESERVING,0.36,48.92134721358435,3.924,0.0,False
4.285,3,0.36,48.88396462690824,3.925,PRESERVING,0.36,48.88396462690824,3.925,0.0,False
4.286,3,0.36,48.84662011773112,3.926,PRESERVING,0.36,48.84662011773112,3.926,0.0,False
4.287,3,0.36,48.80931363758369,3.927,PRESERVING,0.36,48.80931363758369,3.927,0.0,False
4.288,3,0.36,48.77204513807068,3.928,PRESERVING,0.36,48.77204513807068,3.928,0.0,False
4.289,3,0.36,48.73481457087064,3.929,PRESERVING,0.36,48.73481457087064,3.929,0.0,False
4.29,3,0.36,48.69762188773589,3.93,PRESERVING,0.36,48.69762188773589,3.93,0.0,False
4.291,3,0.36,48.660467040492456,3.931,PRESERVING,0.36,48.660467040492456,3.931,0.0,False
4.292,3,0.36,48.62334998103975,3.932,PRESERVING,0.36,48.62334998103975,3.932,0.0,False
4.293,3,0.36,48.586270661350575,3.933,PRESERVING,0.36,48.586270661350575,3.933,0.0,False
4.294,3,0.36,48.549229033471015,3.934,PRESERVING,0.36,48.549229033471015,3.934,0.0,False
4.295,3,0.36,48.51222504952019,3.935,PRESERVING,0.36,48.51222504952019,3.935,0.0,False
4.296,3,0.36,48.47525866169025,3.936,PRESERVING,0.36,48.47525866169025,3.936,0.0,False
4.297,3,0.36,48.43832982224611,3.937,PRESERVING,0.36,48.43832982224611,3.937,0.0,False
4.298,3,0.36,48.40143848352548,3.938,DESTROYING,0.361,48.60174512994904,3.937,0.2003066464235559,True
4.299,3,0.36,48.364584597938595,3.939,DESTROYING,0.362,48.76527477442611,3.937,0.40069017648751526,True
4.3,3,0.36,48.32776811796816,3.94,DESTROYING,0.363,48.92891856370746,3.937,0.6011504457393002,True
4.301,3,0.36,48.29098899616919,3.941,DESTROYING,0.364,49.09267630659239,3.937,0.8016873104231976,True
4.302,3,0.36,48.254247185168936,3.942,DESTROYING,0.365,49.256547812644115,3.937,1.0023006274751793,True
4.303,3,0.36,48.217542637666696,3.943,DESTROYING,0.366,49.42053289218462,3.937,1.2029902545179212,True
4.304,3,0.36,48.1808753064337,3.944,DESTROYING,0.367,49.584631356289556,3.937,1.4037560498558577,True
4.305,3,0.36,48.144245144312976,3.945,DESTROYING,0.368,49.74884301678238,3.937,1.6045978724694052,True
4.306,3,0.36,48.10765210421926,3.946,DESTROYING,0.369,49.913167686230615,3.937,1.8055155820113526,True
4.307,3,0.36,48.071096139138874,3.947,DESTROYING,0.37,50.07760517793986,3.937,2.006509038800985,True
4.308,3,0.36,48.03457720212951,3.948,DESTROYING,0.371,50.2421553059494,3.937,2.207578103819891,True
4.309,3,0.36,47.9980952463202,3.949,DESTROYING,0.372,50.40681788502673,3.937,2.4087226387065357,True
4.31,3,0.36,47.96165022491113,3.95,DESTROYING,0.373,50.571592730662694,3.937,2.6099425057515617,True
4.311,3,0.36,47.92524209117362,3.951,DESTROYING,0.374,50.73647965906746,3.937,2.8112375678938406,True
4.312,3,0.36,47.88887079844982,3.952,DESTROYING,0.375,50.90147848716503,3.937,3.0126076887152067,True
4.313,3,0.36,47.85253630015269,3.953,DESTROYING,0.376,51.066589032588475,3.937,3.214052732435782,True
4.314,3,0.36,47.81623854976592,3.954,DESTROYING,0.377,51.23181111367573,3.937,3.4155725639098122,True
4.315,3,0.36,47.779977500843714,3.955,DESTROYING,0.378,51.39714454946439,3.937,3.6171670486206793,True
4.316,3,0.36,47.74375310701071,3.956,DESTROYING,0.379,51.56258915968789,3.937,3.8188360526771774,True
4.317,3,0.36,47.70756532196184,3.957,DESTROYING,0.38,51.72814476476946,3.937,4.020579442807623,True
4.318,3,0.36,47.67141409946222,3.958,DESTROYING,0.381,51.893811185819246,3.937,4.222397086357027,True
4.319,3,0.36,47.635299393347026,3.959,DESTROYING,0.382,52.05958824462927,3.937,4.424288851282242,True
4.32,3,0.36,47.599221157521356,3.96,DESTROYING,0.383,52.225475763668435,3.937,4.626254606147079,True
4.321,3,0.36,47.5631793459601,3.961,DESTROYING,0.384,52.391473566079156,3.937,4.828294220119055,True
4.322,3,0.36,47.52717391270784,3.962,DESTROYING,0.385,52.55758147567137,3.937,5.030407562963532,True
4.323,3,0.36,47.49120481187877,3.963,DESTROYING,0.386,52.72379931692007,3.937,5.232594505041305,True
4.324,3,0.36,47.4552719976564,3.964,DESTROYING,0.387,52.89012691496022,3.937,5.4348549173038165,True
4.325,3,0.36,47.419375424293655,3.965,DESTROYING,0.388,53.0565640955821,3.937,5.637188671288442,True
4.326,3,0.36,47.383515046112606,3.966,DESTROYING,0.389,53.22311068522777,3.937,5.839595639115167,True
4.327,3,0.36,47.34769081750445,3.967,DESTROYING,0.39,53.38976651098664,3.937,6.0420756934821895,True
4.328,3,0.36,47.31190269292926,3.968,DESTROYING,0.391,53.55653140059138,3.937,6.244628707662123,True
4.329,3,0.36,47.27615062691596,3.969,DESTROYING,0.392,53.72340518241322,3.937,6.44725455549726,True
4.33,3,0.36,47.24043457406218,3.97,DESTROYING,0.393,53.89038768545913,3.937,6.649953111396954,True
4.331,3,0.36,47.20475448903415,3.971,DESTROYING,0.394,54.057478739366886,3.937,6.852724250332734,True
4.332,3,0.36,47.16911032656655,3.972,DESTROYING,0.395,54.22467817440127,3.937,7.055567847834716,True
4.333,3,0.36,47.13350204146242,3.973,DESTROYING,0.396,54.39198582145069,3.937,7.258483779988268,True
4.334,3,0.36,47.09792958859292,3.974,DESTROYING,0.397,54.55940151202173,3.937,7.46147192342881,True
4.335,3,0.36,47.0623929228975,3.975,DESTROYING,0.398,54.72692507823705,3.937,7.6645321553395505,True
4.336,3,0.36,47.02689199938347,3.976,DESTROYING,0.399,54.89455635283073,3.937,7.86766435344726,True
4.337,3,0.36,46.99142677312595,3.977,DESTROYING,0.4,55.06229516914448,3.937,8.070868396018525,True
4.338,3,0.36,46.955997199267934,3.978,DESTROYING,0.401,55.23014136112375,3.937,8.274144161855816,True
4.339,3,0.36,46.92060323301997,3.979,DESTROYING,0.402,55.39809476331435,3.937,8.47749153029438,True
4.34,3,0.36,46.8852448296601,3.98,DESTROYING,0.403,55.5661552108586,3.937,8.680910381198494,True
4.341,3,0.36,46.84992194453378,3.981,DESTROYING,0.404,55.734322539490826,3.937,8.884400594957043,True
4.342,3,0.36,46.81463453305372,3.982,DESTROYING,0.405,55.902596585535335,3.937,9.087962052481615,True
4.343,3,0.36,46.77938255069979,3.983,DESTROYING,0.406,56.070977185901626,3.937,9.291594635201832,True
4.344,3,0.36,46.74416595301893,3.984,DESTROYING,0.407,56.23946417808103,3.937,9.4952982250621,True
4.345,3,0.36,46.70898469562487,3.985,DESTROYING,0.408,56.408057400143306,3.937,9.699072704518436,True
4.346,3,0.36,46.67383873419824,3.986,DESTROYING,0.409,56.576756690733305,3.937,9.902917956535063,True
4.347,3,0.36,46.63872802448637,3.987,DESTROYING,0.41,56.7455618890663,3.937,10.106833864579933,True
4.348,3,0.36,46.60365252230307,3.988,DESTROYING,0.411,56.91447283492635,3.937,10.310820312623278,True
4.349,3,0.36,46.568612183528614,3.989,DESTROYING,0.412,57.08348936866161,3.937,10.514877185132995,True
4.35,3,0.36,46.533606964109666,3.99,DESTROYING,0.413,57.25261133118125,3.937,10.719004367071584,True
4.351,3,0.36,46.49863682005904,3.991,DESTROYING,0.414,57.42183856395226,3.937,10.923201743893216,True
4.352,3,0.36,46.46370170745567,3.992,DESTROYING,0.415,57.59117090899578,3.937,11.127469201540109,True
4.353,3,0.36,46.428801582444464,3.993,DESTROYING,0.416,57.7606082088836,3.937,11.331806626439139,True
4.354,3,0.36,46.393936401236196,3.994,DESTROYING,0.417,57.93015030673566,3.937,11.536213905499466,True
4.355,3,0.36,46.359106120107406,3.995,DESTROYING,0.418,58.099797046216175,3.937,11.740690926108769,True
4.356,3,0.36,46.32431069540023,3.996,DESTROYING,0.419,58.2695482715305,3.937,11.945237576130275,True
4.357,3,0.36,46.289550083522386,3.997,DESTROYING,0.42,58.43940382742213,3.937,12.149853743899747,True
4.358,3,0.36,46.254824240946895,3.998,DESTROYING,0.421,58.60936355916921,3.937,12.354539318222315,True
4.359,3,0.36,46.22013312421219,3.999,DESTROYING,0.422,58.779427312581106,3.937,12.559294188368916,True
4.36,3,0.36,46.18547668992182,4.0,DESTROYING,0.423,58.94959493399635,3.937,12.764118244074531,True
4.361,3,0.36,46.15085489474435,4.001,DESTROYING,0.424,59.11986627027841,3.937,12.969011375534059,True
4.362,3,0.36,46.116267695413406,4.002,DESTROYING,0.425,59.29024116881337,3.937,13.173973473399961,True
4.363,3,0.36,46.0817150487273,4.003,DESTROYING,0.426,59.46071947750633,3.937,13.379004428779034,True
4.364,3,0.36,46.04719691154925,4.004,DESTROYING,0.427,59.631301044778965,3.937,13.584104133229715,True
4.365,3,0.36,46.0127132408069,4.005,DESTROYING,0.428,59.801985719565394,3.937,13.789272478758491,True
4.366,3,0.36,45.97826399349249,4.006,DESTROYING,0.429,59.97277335131068,3.937,13.994509357818188,True
4.367,3,0.36,45.943849126662684,4.007,DESTROYING,0.43,60.143663789966915,3.937,14.199814663304231,True
4.368,3,0.36,45.90946859743827,4.008,DESTROYING,0.431,60.314656885990615,3.937,14.405188288552345,True
4.369,3,0.36,45.87512236300431,4.009,DESTROYING,0.432,60.48575249033971,3.937,14.610630127335405,True
4.37,3,0.36,45.84081038060995,4.01,DESTROYING,0.433,60.6569504544708,3.937,14.81614007386085,True
4.371,3,0.36,45.8065326075681,4.011,DESTROYING,0.434,60.82825063033564,3.937,15.021718022767537,True
4.372,3,0.36,45.7722890012557,4.012,DESTROYING,0.435,60.99965287037934,3.937,15.227363869123643,True
4.373,3,0.36,45.7380795191132,4.013,DESTROYING,0.436,61.171157027537035,3.937,15.433077508423835,True
