start_state_mm,policy,step,remaining_passes_before,state_before_mm,selected_action_mm,immediate_deflection_um,selected_action_class,successor_mm,remaining_passes_after,step_status,failure_detail
4.191,MYOPIC,3,1,3.471,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.192,MYOPIC,1,3,4.192,0.36,52.530181721231614,PRESERVING,3.832,2,CONTINUE,
4.192,MYOPIC,2,2,3.832,0.36,70.62301509848332,DESTROYING,3.472,1,CONTINUE,
4.192,MYOPIC,3,1,3.472,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.193,MYOPIC,1,3,4.193,0.36,52.48907829451962,PRESERVING,3.833,2,CONTINUE,
4.193,MYOPIC,2,2,3.833,0.36,70.56202804218312,DESTROYING,3.473,1,CONTINUE,
4.193,MYOPIC,3,1,3.473,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.194,MYOPIC,1,3,4.194,0.36,52.44801773969748,PRESERVING,3.834,2,CONTINUE,
4.194,MYOPIC,2,2,3.834,0.36,70.50111118680618,DESTROYING,3.474,1,CONTINUE,
4.194,MYOPIC,3,1,3.474,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.195,MYOPIC,1,3,4.195,0.36,52.4070000008842,PRESERVING,3.835,2,CONTINUE,
4.195,MYOPIC,2,2,3.835,0.36,70.44026443137308,DESTROYING,3.475,1,CONTINUE,
4.195,MYOPIC,3,1,3.475,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.196,MYOPIC,1,3,4.196,0.36,52.36602502228619,PRESERVING,3.836,2,CONTINUE,
4.196,MYOPIC,2,2,3.836,0.36,70.3794876750786,DESTROYING,3.476,1,CONTINUE,
4.196,MYOPIC,3,1,3.476,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.197,MYOPIC,1,3,4.197,0.36,52.325092748197044,PRESERVING,3.837,2,CONTINUE,
4.197,MYOPIC,2,2,3.837,0.36,70.31878081729141,DESTROYING,3.477,1,CONTINUE,
4.197,MYOPIC,3,1,3.477,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.198,MYOPIC,1,3,4.198,0.36,52.284203122997496,PRESERVING,3.838,2,CONTINUE,
4.198,MYOPIC,2,2,3.838,0.36,70.25814375755374,DESTROYING,3.478,1,CONTINUE,
4.198,MYOPIC,3,1,3.478,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.199,MYOPIC,1,3,4.199,0.36,52.24335609115513,PRESERVING,3.839,2,CONTINUE,
4.199,MYOPIC,2,2,3.839,0.36,70.19757639558114,DESTROYING,3.479,1,CONTINUE,
4.199,MYOPIC,3,1,3.479,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.2,MYOPIC,1,3,4.2,0.36,52.20255159722428,PRESERVING,3.84,2,CONTINUE,
4.2,MYOPIC,2,2,3.84,0.36,70.13707863126186,DESTROYING,3.48,1,CONTINUE,
4.2,MYOPIC,3,1,3.48,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.201,MYOPIC,1,3,4.201,0.36,52.16178958584585,PRESERVING,3.841,2,CONTINUE,
4.201,MYOPIC,2,2,3.841,0.36,70.07665036465669,DESTROYING,3.481,1,CONTINUE,
4.201,MYOPIC,3,1,3.481,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.202,MYOPIC,1,3,4.202,0.36,52.12107000174724,PRESERVING,3.842,2,CONTINUE,
4.202,MYOPIC,2,2,3.842,0.36,70.01629149599863,DESTROYING,3.482,1,CONTINUE,
4.202,MYOPIC,3,1,3.482,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.203,MYOPIC,1,3,4.203,0.36,52.0803927897421,PRESERVING,3.843,2,CONTINUE,
4.203,MYOPIC,2,2,3.843,0.36,69.9560019256925,DESTROYING,3.483,1,CONTINUE,
4.203,MYOPIC,3,1,3.483,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.204,MYOPIC,1,3,4.204,0.36,52.03975789473015,PRESERVING,3.844,2,CONTINUE,
4.204,MYOPIC,2,2,3.844,0.36,69.89578155431455,DESTROYING,3.484,1,CONTINUE,
4.204,MYOPIC,3,1,3.484,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.205,MYOPIC,1,3,4.205,0.36,51.99916526169709,PRESERVING,3.845,2,CONTINUE,
4.205,MYOPIC,2,2,3.845,0.36,69.83563028261214,DESTROYING,3.485,1,CONTINUE,
4.205,MYOPIC,3,1,3.485,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.206,MYOPIC,1,3,4.206,0.36,51.95861483571447,PRESERVING,3.846,2,CONTINUE,
4.206,MYOPIC,2,2,3.846,0.36,69.77554801150343,DESTROYING,3.486,1,CONTINUE,
4.206,MYOPIC,3,1,3.486,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.207,MYOPIC,1,3,4.207,0.36,51.91810656193943,PRESERVING,3.847,2,CONTINUE,
4.207,MYOPIC,2,2,3.847,0.36,69.71553464207709,DESTROYING,3.487,1,CONTINUE,
4.207,MYOPIC,3,1,3.487,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.208,MYOPIC,1,3,4.208,0.36,51.87764038561463,PRESERVING,3.848,2,CONTINUE,
4.208,MYOPIC,2,2,3.848,0.36,69.65559007559177,DESTROYING,3.488,1,CONTINUE,
4.208,MYOPIC,3,1,3.488,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.209,MYOPIC,1,3,4.209,0.36,51.83721625206807,PRESERVING,3.849,2,CONTINUE,
4.209,MYOPIC,2,2,3.849,0.36,69.59571421347596,DESTROYING,3.489,1,CONTINUE,
4.209,MYOPIC,3,1,3.489,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.21,MYOPIC,1,3,4.21,0.36,51.79683410671292,PRESERVING,3.85,2,CONTINUE,
4.21,MYOPIC,2,2,3.85,0.36,69.53590695732746,DESTROYING,3.49,1,CONTINUE,
4.21,MYOPIC,3,1,3.49,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.211,MYOPIC,1,3,4.211,0.36,51.756493895047356,PRESERVING,3.851,2,CONTINUE,
4.211,MYOPIC,2,2,3.851,0.36,69.47616820891334,DESTROYING,3.491,1,CONTINUE,
4.211,MYOPIC,3,1,3.491,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.212,MYOPIC,1,3,4.212,0.36,51.71619556265447,PRESERVING,3.852,2,CONTINUE,
4.212,MYOPIC,2,2,3.852,0.36,69.41649787016921,DESTROYING,3.492,1,CONTINUE,
4.212,MYOPIC,3,1,3.492,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.213,MYOPIC,1,3,4.213,0.36,51.675939055202036,PRESERVING,3.853,2,CONTINUE,
4.213,MYOPIC,2,2,3.853,0.36,69.35689584319914,DESTROYING,3.493,1,CONTINUE,
4.213,MYOPIC,3,1,3.493,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.214,MYOPIC,1,3,4.214,0.36,51.63572431844241,PRESERVING,3.854,2,CONTINUE,
4.214,MYOPIC,2,2,3.854,0.36,69.2973620302753,DESTROYING,3.494,1,CONTINUE,
4.214,MYOPIC,3,1,3.494,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.215,MYOPIC,1,3,4.215,0.36,51.59555129821238,PRESERVING,3.855,2,CONTINUE,
4.215,MYOPIC,2,2,3.855,0.36,69.23789633383763,DESTROYING,3.495,1,CONTINUE,
4.215,MYOPIC,3,1,3.495,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.216,MYOPIC,1,3,4.216,0.36,51.55541994043291,PRESERVING,3.856,2,CONTINUE,
4.216,MYOPIC,2,2,3.856,0.36,69.17849865649329,DESTROYING,3.496,1,CONTINUE,
4.216,MYOPIC,3,1,3.496,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.217,MYOPIC,1,3,4.217,0.36,51.515330191109136,PRESERVING,3.857,2,CONTINUE,
4.217,MYOPIC,2,2,3.857,0.36,69.11916890101668,DESTROYING,3.497,1,CONTINUE,
4.217,MYOPIC,3,1,3.497,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.218,MYOPIC,1,3,4.218,0.36,51.475281996330175,PRESERVING,3.858,2,CONTINUE,
4.218,MYOPIC,2,2,3.858,0.36,69.05990697034875,DESTROYING,3.498,1,CONTINUE,
4.218,MYOPIC,3,1,3.498,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.219,MYOPIC,1,3,4.219,0.36,51.43527530226886,PRESERVING,3.859,2,CONTINUE,
4.219,MYOPIC,2,2,3.859,0.36,69.00071276759702,DESTROYING,3.499,1,CONTINUE,
4.219,MYOPIC,3,1,3.499,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.22,MYOPIC,1,3,4.22,0.36,51.39531005518171,PRESERVING,3.86,2,CONTINUE,
4.22,MYOPIC,2,2,3.86,0.36,68.94158619603488,DESTROYING,3.5,1,CONTINUE,
4.22,MYOPIC,3,1,3.5,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.221,MYOPIC,1,3,4.221,0.36,51.35538620140876,PRESERVING,3.861,2,CONTINUE,
4.221,MYOPIC,2,2,3.861,0.36,68.88252715910161,DESTROYING,3.501,1,CONTINUE,
4.221,MYOPIC,3,1,3.501,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.222,MYOPIC,1,3,4.222,0.36,51.315503687373365,PRESERVING,3.862,2,CONTINUE,
4.222,MYOPIC,2,2,3.862,0.36,68.82353556040178,DESTROYING,3.502,1,CONTINUE,
4.222,MYOPIC,3,1,3.502,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.223,MYOPIC,1,3,4.223,0.36,51.275662459582094,PRESERVING,3.863,2,CONTINUE,
4.223,MYOPIC,2,2,3.863,0.36,68.76461130370494,DESTROYING,3.503,1,CONTINUE,
4.223,MYOPIC,3,1,3.503,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.224,MYOPIC,1,3,4.224,0.36,51.2358624646245,PRESERVING,3.864,2,CONTINUE,
4.224,MYOPIC,2,2,3.864,0.36,68.70575429294561,DESTROYING,3.504,1,CONTINUE,
4.224,MYOPIC,3,1,3.504,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.225,MYOPIC,1,3,4.225,0.36,51.196103649173104,PRESERVING,3.865,2,CONTINUE,
4.225,MYOPIC,2,2,3.865,0.36,68.64696443222255,DESTROYING,3.505,1,CONTINUE,
4.225,MYOPIC,3,1,3.505,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.226,MYOPIC,1,3,4.226,0.36,51.15638595998316,PRESERVING,3.866,2,CONTINUE,
4.226,MYOPIC,2,2,3.866,0.36,68.58824162579856,DESTROYING,3.506,1,CONTINUE,
4.226,MYOPIC,3,1,3.506,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.227,MYOPIC,1,3,4.227,0.36,51.11670934389245,PRESERVING,3.867,2,CONTINUE,
4.227,MYOPIC,2,2,3.867,0.36,68.52958577810027,DESTROYING,3.507,1,CONTINUE,
4.227,MYOPIC,3,1,3.507,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.228,MYOPIC,1,3,4.228,0.36,51.077073747821274,PRESERVING,3.868,2,CONTINUE,
4.228,MYOPIC,2,2,3.868,0.36,68.4709967937177,DESTROYING,3.508,1,CONTINUE,
4.228,MYOPIC,3,1,3.508,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.229,MYOPIC,1,3,4.229,0.36,51.03747911877214,PRESERVING,3.869,2,CONTINUE,
4.229,MYOPIC,2,2,3.869,0.36,68.41247457740404,DESTROYING,3.509,1,CONTINUE,
4.229,MYOPIC,3,1,3.509,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.23,MYOPIC,1,3,4.23,0.36,50.99792540382983,PRESERVING,3.87,2,CONTINUE,
4.23,MYOPIC,2,2,3.87,0.36,68.3540190340751,DESTROYING,3.51,1,CONTINUE,
4.23,MYOPIC,3,1,3.51,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.231,MYOPIC,1,3,4.231,0.36,50.958412550161015,PRESERVING,3.871,2,CONTINUE,
4.231,MYOPIC,2,2,3.871,0.36,68.29563006880919,DESTROYING,3.511,1,CONTINUE,
4.231,MYOPIC,3,1,3.511,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.232,MYOPIC,1,3,4.232,0.36,50.918940505014255,PRESERVING,3.872,2,CONTINUE,
4.232,MYOPIC,2,2,3.872,0.36,68.23730758684684,DESTROYING,3.512,1,CONTINUE,
4.232,MYOPIC,3,1,3.512,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.233,MYOPIC,1,3,4.233,0.36,50.87950921571976,PRESERVING,3.873,2,CONTINUE,
4.233,MYOPIC,2,2,3.873,0.36,68.17905149359025,DESTROYING,3.513,1,CONTINUE,
4.233,MYOPIC,3,1,3.513,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.234,MYOPIC,1,3,4.234,0.36,50.84011862968941,PRESERVING,3.874,2,CONTINUE,
4.234,MYOPIC,2,2,3.874,0.36,68.12086169460318,DESTROYING,3.514,1,CONTINUE,
4.234,MYOPIC,3,1,3.514,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.235,MYOPIC,1,3,4.235,0.36,50.80076869441637,PRESERVING,3.875,2,CONTINUE,
4.235,MYOPIC,2,2,3.875,0.36,68.06273809561046,DESTROYING,3.515,1,CONTINUE,
4.235,MYOPIC,3,1,3.515,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.236,MYOPIC,1,3,4.236,0.36,50.761459357475125,PRESERVING,3.876,2,CONTINUE,
4.236,MYOPIC,2,2,3.876,0.36,68.00468060249787,DESTROYING,3.516,1,CONTINUE,
4.236,MYOPIC,3,1,3.516,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.237,MYOPIC,1,3,4.237,0.36,50.72219056652126,PRESERVING,3.877,2,CONTINUE,
4.237,MYOPIC,2,2,3.877,0.36,67.9466891213116,DESTROYING,3.517,1,CONTINUE,
4.237,MYOPIC,3,1,3.517,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.238,MYOPIC,1,3,4.238,0.36,50.68296226929129,PRESERVING,3.878,2,CONTINUE,
4.238,MYOPIC,2,2,3.878,0.36,67.88876355825805,DESTROYING,3.518,1,CONTINUE,
4.238,MYOPIC,3,1,3.518,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.239,MYOPIC,1,3,4.239,0.36,50.64377441360266,PRESERVING,3.879,2,CONTINUE,
4.239,MYOPIC,2,2,3.879,0.36,67.83090381970355,DESTROYING,3.519,1,CONTINUE,
4.239,MYOPIC,3,1,3.519,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.24,MYOPIC,1,3,4.24,0.36,50.604626947353346,PRESERVING,3.88,2,CONTINUE,
4.24,MYOPIC,2,2,3.88,0.36,67.77310981217397,DESTROYING,3.52,1,CONTINUE,
4.24,MYOPIC,3,1,3.52,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.241,MYOPIC,1,3,4.241,0.36,50.56551981852196,PRESERVING,3.881,2,CONTINUE,
4.241,MYOPIC,2,2,3.881,0.36,67.71538144235436,DESTROYING,3.521,1,CONTINUE,
4.241,MYOPIC,3,1,3.521,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.242,MYOPIC,1,3,4.242,0.36,50.526452975167395,PRESERVING,3.882,2,CONTINUE,
4.242,MYOPIC,2,2,3.882,0.36,67.65771861708876,DESTROYING,3.522,1,CONTINUE,
4.242,MYOPIC,3,1,3.522,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.243,MYOPIC,1,3,4.243,0.36,50.487426365428945,PRESERVING,3.883,2,CONTINUE,
4.243,MYOPIC,2,2,3.883,0.36,67.60012124337977,DESTROYING,3.523,1,CONTINUE,
4.243,MYOPIC,3,1,3.523,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.244,MYOPIC,1,3,4.244,0.36,50.44843993752582,PRESERVING,3.884,2,CONTINUE,
4.244,MYOPIC,2,2,3.884,0.36,67.54258922838837,DESTROYING,3.524,1,CONTINUE,
4.244,MYOPIC,3,1,3.524,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.245,MYOPIC,1,3,4.245,0.36,50.40949363975729,PRESERVING,3.885,2,CONTINUE,
4.245,MYOPIC,2,2,3.885,0.36,67.48512247943339,DESTROYING,3.525,1,CONTINUE,
4.245,MYOPIC,3,1,3.525,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.246,MYOPIC,1,3,4.246,0.36,50.37058742050237,PRESERVING,3.886,2,CONTINUE,
4.246,MYOPIC,2,2,3.886,0.36,67.42772090399144,DESTROYING,3.526,1,CONTINUE,
4.246,MYOPIC,3,1,3.526,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.247,MYOPIC,1,3,4.247,0.36,50.3317212282198,PRESERVING,3.887,2,CONTINUE,
4.247,MYOPIC,2,2,3.887,0.36,67.37038440969644,DESTROYING,3.527,1,CONTINUE,
4.247,MYOPIC,3,1,3.527,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.248,MYOPIC,1,3,4.248,0.36,50.29289501144779,PRESERVING,3.888,2,CONTINUE,
4.248,MYOPIC,2,2,3.888,0.36,67.3131129043393,DESTROYING,3.528,1,CONTINUE,
4.248,MYOPIC,3,1,3.528,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.249,MYOPIC,1,3,4.249,0.36,50.25410871880395,PRESERVING,3.889,2,CONTINUE,
4.249,MYOPIC,2,2,3.889,0.36,67.25590629586777,DESTROYING,3.529,1,CONTINUE,
4.249,MYOPIC,3,1,3.529,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.25,MYOPIC,1,3,4.25,0.36,50.215362298985056,PRESERVING,3.89,2,CONTINUE,
4.25,MYOPIC,2,2,3.89,0.36,67.19876449238593,DESTROYING,3.53,1,CONTINUE,
4.25,MYOPIC,3,1,3.53,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.251,MYOPIC,1,3,4.251,0.36,50.17665570076711,PRESERVING,3.891,2,CONTINUE,
4.251,MYOPIC,2,2,3.891,0.36,67.14168740215395,DESTROYING,3.531,1,CONTINUE,
4.251,MYOPIC,3,1,3.531,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.252,MYOPIC,1,3,4.252,0.36,50.13798887300495,PRESERVING,3.892,2,CONTINUE,
4.252,MYOPIC,2,2,3.892,0.36,67.08467493358792,DESTROYING,3.532,1,CONTINUE,
4.252,MYOPIC,3,1,3.532,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.253,MYOPIC,1,3,4.253,0.36,50.09936176463223,PRESERVING,3.893,2,CONTINUE,
4.253,MYOPIC,2,2,3.893,0.36,67.02772699525933,DESTROYING,3.533,1,CONTINUE,
4.253,MYOPIC,3,1,3.533,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.254,MYOPIC,1,3,4.254,0.36,50.06077432466129,PRESERVING,3.894,2,CONTINUE,
4.254,MYOPIC,2,2,3.894,0.36,66.97084349589481,DESTROYING,3.534,1,CONTINUE,
4.254,MYOPIC,3,1,3.534,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.255,MYOPIC,1,3,4.255,0.36,50.02222650218303,PRESERVING,3.895,2,CONTINUE,
4.255,MYOPIC,2,2,3.895,0.36,66.91402434437595,DESTROYING,3.535,1,CONTINUE,
4.255,MYOPIC,3,1,3.535,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.256,MYOPIC,1,3,4.256,0.36,49.983718246366685,PRESERVING,3.896,2,CONTINUE,
4.256,MYOPIC,2,2,3.896,0.36,66.85726944973891,DESTROYING,3.536,1,CONTINUE,
4.256,MYOPIC,3,1,3.536,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.257,MYOPIC,1,3,4.257,0.36,49.94524950645972,PRESERVING,3.897,2,CONTINUE,
4.257,MYOPIC,2,2,3.897,0.36,66.80057872117408,DESTROYING,3.537,1,CONTINUE,
4.257,MYOPIC,3,1,3.537,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.258,MYOPIC,1,3,4.258,0.36,49.906820231787734,PRESERVING,3.898,2,CONTINUE,
4.258,MYOPIC,2,2,3.898,0.36,66.74395206802579,DESTROYING,3.538,1,CONTINUE,
4.258,MYOPIC,3,1,3.538,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.259,MYOPIC,1,3,4.259,0.36,49.86843037175427,PRESERVING,3.899,2,CONTINUE,
4.259,MYOPIC,2,2,3.899,0.36,66.68738939979204,DESTROYING,3.539,1,CONTINUE,
4.259,MYOPIC,3,1,3.539,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.26,MYOPIC,1,3,4.26,0.36,49.83007987584073,PRESERVING,3.9,2,CONTINUE,
4.26,MYOPIC,2,2,3.9,0.36,66.63089062612418,DESTROYING,3.54,1,CONTINUE,
4.26,MYOPIC,3,1,3.54,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.261,MYOPIC,1,3,4.261,0.36,49.79176869360613,PRESERVING,3.901,2,CONTINUE,
4.261,MYOPIC,2,2,3.901,0.36,66.57445565682667,DESTROYING,3.541,1,CONTINUE,
4.261,MYOPIC,3,1,3.541,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.262,MYOPIC,1,3,4.262,0.36,49.75349677468705,PRESERVING,3.902,2,CONTINUE,
4.262,MYOPIC,2,2,3.902,0.36,66.51808440185664,DESTROYING,3.542,1,CONTINUE,
4.262,MYOPIC,3,1,3.542,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.263,MYOPIC,1,3,4.263,0.36,49.71526406879751,PRESERVING,3.903,2,CONTINUE,
4.263,MYOPIC,2,2,3.903,0.36,66.4617767713236,DESTROYING,3.543,1,CONTINUE,
4.263,MYOPIC,3,1,3.543,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.264,MYOPIC,1,3,4.264,0.36,49.67707052572877,PRESERVING,3.904,2,CONTINUE,
4.264,MYOPIC,2,2,3.904,0.36,66.40553267548937,DESTROYING,3.544,1,CONTINUE,
4.264,MYOPIC,3,1,3.544,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.265,MYOPIC,1,3,4.265,0.36,49.638916095349224,PRESERVING,3.905,2,CONTINUE,
4.265,MYOPIC,2,2,3.905,0.36,66.34935202476751,DESTROYING,3.545,1,CONTINUE,
4.265,MYOPIC,3,1,3.545,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.266,MYOPIC,1,3,4.266,0.36,49.60080072760419,PRESERVING,3.906,2,CONTINUE,
4.266,MYOPIC,2,2,3.906,0.36,66.29323472972312,DESTROYING,3.546,1,CONTINUE,
4.266,MYOPIC,3,1,3.546,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.267,MYOPIC,1,3,4.267,0.36,49.56272437251595,PRESERVING,3.907,2,CONTINUE,
4.267,MYOPIC,2,2,3.907,0.36,66.23718070107255,DESTROYING,3.547,1,CONTINUE,
4.267,MYOPIC,3,1,3.547,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.268,MYOPIC,1,3,4.268,0.36,49.52468698018341,PRESERVING,3.908,2,CONTINUE,
4.268,MYOPIC,2,2,3.908,0.36,66.18118984968311,DESTROYING,3.548,1,CONTINUE,
4.268,MYOPIC,3,1,3.548,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
4.269,MYOPIC,1,3,4.269,0.36,49.48668850078208,PRESERVING,3.909,2,CONTINUE,
4.269,MYOPIC,2,2,3.909,0.36,66.12526208657277,DESTROYING,3.549,1,CONTINUE,
4.269,MYOPIC,3,1,3.549,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
