grid_mm,continuous_boundary_mm,discrete_upper_mm,boundary_error_um,heldout_agreement_of_400,unsafe_optimistic_classifications
0.004,4.588030453165504,4.576,12.03045316550444,391,0
0.002,4.588030453165504,4.584,4.030453165504433,397,0
0.001,4.588030453165504,4.586,2.030453165503765,399,0
0.0005,4.588030453165504,4.5865,1.530453165504042,399,0
0.00025,4.588030453165504,4.5875,0.5304531655037081,400,0

