state_order,state_mm,rpra_action_mm,online_action_mm,rpra_immediate_deflection_um,online_immediate_deflection_um,rpra_successor_mm,online_successor_mm,rpra_selected_continuous_status,online_selected_continuous_status,online_discrete_class,exact_action_agreement,signed_action_delta_um_online_minus_rpra,absolute_action_difference_um,immediate_deflection_delta_um_rpra_minus_online,disagreement_classification
34,4.214,0.36,0.36,51.63572431844241,51.63572431844241,3.854,3.854,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
35,4.215,0.36,0.36,51.59555129821238,51.59555129821238,3.855,3.855,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
36,4.216,0.36,0.36,51.55541994043291,51.55541994043291,3.856,3.856,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
37,4.217,0.36,0.36,51.515330191109136,51.515330191109136,3.857,3.857,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
38,4.218,0.36,0.36,51.475281996330175,51.475281996330175,3.858,3.858,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
39,4.219,0.36,0.36,51.43527530226886,51.43527530226886,3.859,3.859,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
40,4.22,0.36,0.36,51.39531005518171,51.39531005518171,3.86,3.86,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
41,4.221,0.36,0.36,51.35538620140876,51.35538620140876,3.861,3.861,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
42,4.222,0.36,0.36,51.315503687373365,51.315503687373365,3.862,3.862,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
43,4.223,0.36,0.36,51.275662459582094,51.275662459582094,3.863,3.863,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
44,4.224,0.36,0.36,51.2358624646245,51.2358624646245,3.864,3.864,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
45,4.225,0.36,0.36,51.196103649173104,51.196103649173104,3.865,3.865,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
46,4.226,0.36,0.36,51.15638595998316,51.15638595998316,3.866,3.866,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
47,4.227,0.36,0.36,51.11670934389245,51.11670934389245,3.867,3.867,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
48,4.228,0.36,0.36,51.077073747821274,51.077073747821274,3.868,3.868,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
49,4.229,0.36,0.36,51.03747911877214,51.03747911877214,3.869,3.869,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
50,4.23,0.36,0.36,50.99792540382983,50.99792540382983,3.87,3.87,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
51,4.231,0.36,0.36,50.958412550161015,50.958412550161015,3.871,3.871,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
52,4.232,0.36,0.36,50.918940505014255,50.918940505014255,3.872,3.872,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
53,4.233,0.36,0.36,50.87950921571976,50.87950921571976,3.873,3.873,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
54,4.234,0.36,0.36,50.84011862968941,50.84011862968941,3.874,3.874,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
55,4.235,0.36,0.36,50.80076869441637,50.80076869441637,3.875,3.875,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
56,4.236,0.36,0.36,50.761459357475125,50.761459357475125,3.876,3.876,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
57,4.237,0.36,0.36,50.72219056652126,50.72219056652126,3.877,3.877,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
58,4.238,0.36,0.36,50.68296226929129,50.68296226929129,3.878,3.878,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
59,4.239,0.36,0.36,50.64377441360266,50.64377441360266,3.879,3.879,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
60,4.24,0.36,0.36,50.604626947353346,50.604626947353346,3.88,3.88,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
61,4.241,0.36,0.36,50.56551981852196,50.56551981852196,3.881,3.881,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
62,4.242,0.36,0.36,50.526452975167395,50.526452975167395,3.882,3.882,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
63,4.243,0.36,0.36,50.487426365428945,50.487426365428945,3.883,3.883,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
64,4.244,0.36,0.36,50.44843993752582,50.44843993752582,3.884,3.884,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
65,4.245,0.36,0.36,50.40949363975729,50.40949363975729,3.885,3.885,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
66,4.246,0.36,0.36,50.37058742050237,50.37058742050237,3.886,3.886,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
67,4.247,0.36,0.36,50.3317212282198,50.3317212282198,3.887,3.887,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
68,4.248,0.36,0.36,50.29289501144779,50.29289501144779,3.888,3.888,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
69,4.249,0.36,0.36,50.25410871880395,50.25410871880395,3.889,3.889,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
70,4.25,0.36,0.36,50.215362298985056,50.215362298985056,3.89,3.89,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
71,4.251,0.36,0.36,50.17665570076711,50.17665570076711,3.891,3.891,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
72,4.252,0.36,0.36,50.13798887300495,50.13798887300495,3.892,3.892,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
73,4.253,0.36,0.36,50.09936176463223,50.09936176463223,3.893,3.893,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
74,4.254,0.36,0.36,50.06077432466129,50.06077432466129,3.894,3.894,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
75,4.255,0.36,0.36,50.02222650218303,50.02222650218303,3.895,3.895,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
