start_state_mm,policy,step,remaining_passes_before,state_before_mm,selected_action_mm,immediate_deflection_um,selected_action_discrete_class,successor_mm,selected_action_continuous_status,selected_action_continuous_detail,online_continuous_solve_calls,step_status
4.195,RPRA,1,3,4.195,0.36,52.4070000008842,PRESERVING,3.835,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.195,RPRA,2,2,3.835,0.373,74.37409351682855,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.195,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.196,RPRA,1,3,4.196,0.36,52.36602502228619,PRESERVING,3.836,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.196,RPRA,2,2,3.836,0.374,74.61658767551941,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.196,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.197,RPRA,1,3,4.197,0.36,52.325092748197044,PRESERVING,3.837,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.197,RPRA,2,2,3.837,0.375,74.85924640166341,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.197,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.198,RPRA,1,3,4.198,0.36,52.284203122997496,PRESERVING,3.838,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.198,RPRA,2,2,3.838,0.376,75.10206942705908,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.198,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.199,RPRA,1,3,4.199,0.36,52.24335609115513,PRESERVING,3.839,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.199,RPRA,2,2,3.839,0.377,75.34505648454163,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.199,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.2,RPRA,1,3,4.2,0.36,52.20255159722428,PRESERVING,3.84,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.2,RPRA,2,2,3.84,0.378,75.58820730797513,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.2,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.201,RPRA,1,3,4.201,0.36,52.16178958584585,PRESERVING,3.841,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.201,RPRA,2,2,3.841,0.379,75.83152163224709,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.201,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.202,RPRA,1,3,4.202,0.36,52.12107000174724,PRESERVING,3.842,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.202,RPRA,2,2,3.842,0.38,76.07499919325944,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.202,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.203,RPRA,1,3,4.203,0.36,52.0803927897421,PRESERVING,3.843,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,0,CONTINUE
4.203,RPRA,2,2,3.843,0.381,76.31863972792435,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.203,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.204,RPRA,1,3,4.204,0.36,52.03975789473015,PRESERVING,3.844,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.204,RPRA,2,2,3.844,0.382,76.56244297415681,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.204,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.205,RPRA,1,3,4.205,0.36,51.99916526169709,PRESERVING,3.845,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.205,RPRA,2,2,3.845,0.383,76.80640867086727,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.205,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
