downstream_passes,successor_mm,classified_status,classification_detail,feasible,capacity_reason,optimizer_success,optimizer_message,multistart_count,decision_at_limit,residual_valid,residual_validity_detail,removal_sum_abs_mm,action_bound_violation_mm,epigraph_violation_um,terminal_thickness_abs_mm,optimal_worst_deflection_um,recoverability_margin_um
2,4.118,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,2.220446049250313e-16,0.0,1.8900436771218665e-12,4.440892098500626e-16,122.88586324251989,-22.88586324251989
2,4.119,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,123.01251609605679,-23.012516096056785
2,4.12,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,0.0,0.0,123.1391641301635,-23.139164130163493
2,4.121,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,3.694822225952521e-13,0.0,123.26580732763448,-23.265807327634477
2,4.122,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.7905676941154525e-12,0.0,123.39244567130898,-23.392445671308977
2,4.123,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,4.263256414560601e-13,0.0,123.51907914406668,-23.51907914406668
2,4.124,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.1368683772161603e-13,4.440892098500626e-16,123.64570772883519,-23.64570772883519
2,4.125,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,3.083755473198835e-12,0.0,123.77233140858392,-23.772331408583923
2,4.126,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,2.0747847884194925e-12,0.0,123.89895016631976,-23.898950166319764
2,4.127,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,7.105427357601002e-14,0.0,124.0255639850964,-24.025563985096397
