terminal_case,epsilon_um,start_state_mm,policy,step,remaining_passes_before,state_before_mm,selected_action_mm,immediate_deflection_um,selected_action_class,successor_mm,remaining_passes_after,step_status,failure_detail
T0,0,4.198,MYOPIC,2,2,3.838,0.36,70.25814375755374,DESTROYING,3.478,1,CONTINUE,
T0,0,4.198,MYOPIC,3,1,3.478,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.199,MYOPIC,1,3,4.199,0.36,52.24335609115513,PRESERVING,3.839,2,CONTINUE,
T0,0,4.199,MYOPIC,2,2,3.839,0.36,70.19757639558114,DESTROYING,3.479,1,CONTINUE,
T0,0,4.199,MYOPIC,3,1,3.479,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.2,MYOPIC,1,3,4.2,0.36,52.20255159722428,PRESERVING,3.84,2,CONTINUE,
T0,0,4.2,MYOPIC,2,2,3.84,0.36,70.13707863126186,DESTROYING,3.48,1,CONTINUE,
T0,0,4.2,MYOPIC,3,1,3.48,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.201,MYOPIC,1,3,4.201,0.36,52.16178958584585,PRESERVING,3.841,2,CONTINUE,
T0,0,4.201,MYOPIC,2,2,3.841,0.36,70.07665036465669,DESTROYING,3.481,1,CONTINUE,
T0,0,4.201,MYOPIC,3,1,3.481,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.202,MYOPIC,1,3,4.202,0.36,52.12107000174724,PRESERVING,3.842,2,CONTINUE,
T0,0,4.202,MYOPIC,2,2,3.842,0.36,70.01629149599863,DESTROYING,3.482,1,CONTINUE,
T0,0,4.202,MYOPIC,3,1,3.482,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.203,MYOPIC,1,3,4.203,0.36,52.0803927897421,PRESERVING,3.843,2,CONTINUE,
T0,0,4.203,MYOPIC,2,2,3.843,0.36,69.9560019256925,DESTROYING,3.483,1,CONTINUE,
T0,0,4.203,MYOPIC,3,1,3.483,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.204,MYOPIC,1,3,4.204,0.36,52.03975789473015,PRESERVING,3.844,2,CONTINUE,
T0,0,4.204,MYOPIC,2,2,3.844,0.36,69.89578155431455,DESTROYING,3.484,1,CONTINUE,
T0,0,4.204,MYOPIC,3,1,3.484,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.205,MYOPIC,1,3,4.205,0.36,51.99916526169709,PRESERVING,3.845,2,CONTINUE,
T0,0,4.205,MYOPIC,2,2,3.845,0.36,69.83563028261214,DESTROYING,3.485,1,CONTINUE,
T0,0,4.205,MYOPIC,3,1,3.485,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.206,MYOPIC,1,3,4.206,0.36,51.95861483571447,PRESERVING,3.846,2,CONTINUE,
T0,0,4.206,MYOPIC,2,2,3.846,0.36,69.77554801150343,DESTROYING,3.486,1,CONTINUE,
T0,0,4.206,MYOPIC,3,1,3.486,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.207,MYOPIC,1,3,4.207,0.36,51.91810656193943,PRESERVING,3.847,2,CONTINUE,
